cod_produto,categoria_produto,familia_produto,nome_produto,segmento_mercado,desc_produto,tipo_fonte
1,Combustíveis,Etanol (Álcool),Etanol Hidratado Aditivado Petrobras Grid,Varejo / Postos de Combustível,Etanol hidratado com aditivos exclusivos da tecnologia Petrobras Grid para limpeza e proteção do motor.,Renovável
2,Combustíveis,Gasolina automotiva,Gasolina C Podium,Varejo / Postos de Combustível,"Gasolina de alta octanagem e baixo teor de enxofre, ideal para veículos de alta performance.",Fóssil
3,Combustíveis,Gasolina automotiva,Gasolina Comum C Aditivada Petrobras Grid,Varejo / Postos de Combustível,Gasolina comum aditivada com redutor de atrito e agentes de limpeza da tecnologia Grid.,Fóssil
4,Combustíveis,Querosene de aviação,Querosene de Aviação (JET A-1),Aviação,Combustível para turbinas de aeronaves com especificações técnicas rigorosas para segurança de voo.,Fóssil
5,Combustíveis,Diesel automotivo,Óleo Diesel B S10 Petrobras Grid,Transporte / Rodoviário,Diesel com baixo teor de enxofre (10ppm) aditivado para maior proteção e limpeza do sistema de injeção.,Fóssil
6,Combustíveis,Diesel automotivo,Óleo Diesel B S10 Agripetro,Agronegócio,Diesel S10 formulado especificamente para as necessidades de máquinas e equipamentos agrícolas.,Fóssil
7,Combustíveis,Diesel marítimo,Óleo Diesel Marítimo Petrobras Verana,Óleo e Gás / Marítimo,Combustível marítimo de alta qualidade para embarcações com foco em desempenho e redução de emissões.,Fóssil
8,Combustíveis,Óleo combustível,AddCleaner Petrobras A2,Indústrias,Óleo combustível industrial aditivado para melhor queima e manutenção de caldeiras.,Fóssil
9,Lubrificantes,Produtos Lubrax,Lubrax (Linha Completa),Automotivo / Industrial / Agronegócio,"Óleos lubrificantes de diversas viscosidades para motores, engrenagens e sistemas hidráulicos.",Fóssil
10,Químicos e Petroquímicos,Óleos agrícolas,OPPA AD,Agronegócio,Óleo químico para aplicação agrícola com propriedades aditivadas para proteção de cultivos.,Fóssil
11,Químicos e Petroquímicos,Solventes,Aguarrás Mineral RS,Indústrias,Solvente alifático utilizado em processos industriais e diluição de tintas.,Fóssil
12,Combustíveis,Gás,Gás Natural Veicular (GNV),Transporte / Varejo,"Combustível gasoso para veículos, oferecendo economia e menor emissão de particulados.",Fóssil
13,Combustíveis,Combustíveis de Aviação,Combustível de Aviação (Jet A-1 / Avgas),Aviação,Fornecimento de combustíveis para aeronaves em 94 aeroportos brasileiros sob a marca BR Aviation.,Fóssil (Inferido)
14,Lubrificantes,Lubrax,Lubrax (Linha completa),B2B / Consumo Geral,Linha líder de lubrificantes no Brasil para diversos tipos de motores e aplicações industriais.,Fóssil (Inferido)
